,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
2149,Polynesian,Married,Unknown or not provided,Female,Single Family Residence,58.0,239000.0,1985.0,30.0
2150,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,62.3489336492891,283000.0,1953.0,16.0
2151,Western European,Married,Husband and wife,Female,Single Family Residence,77.0,242000.0,1953.0,41.0
2152,Eastern European,Unknown,Husband and wife,Male,Single Family Residence,49.0,583000.0,1913.0,23.0
2153,Western European,Married,Husband and wife,Female,Single Family Residence,73.0,310000.0,1981.0,16.0
2154,Scandinavian,Single,Unknown or not provided,Female,Single Family Residence,79.0,229000.0,1976.0,13.0
2155,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,62.3489336492891,510000.0,1994.0,21.0
2156,Western European,Single,Single / Unmarried,Male,Single Family Residence,44.0,173000.0,1961.0,7.0
2157,East Asian,Unknown,Unknown or not provided,Female,Single Family Residence,53.0,332000.0,1994.0,21.0
2158,Mediterranean,Single,Unmarried Man,Male,Single Family Residence,65.0,174000.0,1947.0,25.0
2159,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,6372000.0,1983.0,32.0
2160,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,62.3489336492891,289000.0,1968.0,4.0
2161,Other,Unknown,Unknown or not provided,Unknown,Single Family Residence,62.3489336492891,221000.0,1972.0,41.0
2162,African American,Unknown,Husband and wife,Female,Single Family Residence,55.0,266000.0,1991.0,24.0
2163,Jewish,Married,Single / Unmarried,Female,Single Family Residence,74.0,184000.0,1974.0,20.0
2164,Western European,Unknown,Unknown or not provided,Female,Single Family Residence,38.0,231000.0,1925.0,16.0
2165,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,8095000.0,1987.0,10.0
2166,Western European,Unknown,Unknown or not provided,Male,Single Family Residence,31.0,227000.0,1955.0,16.0
2167,Western European,Married,Separate Estate/Property,Female,Single Family Residence,69.0,322000.0,1979.0,23.0
2168,Unknown,Unknown,Single Man,Unknown,Single Family Residence,62.3489336492891,192000.0,1960.0,41.0
2169,East Asian,Single,Unmarried Man,Female,Single Family Residence,62.3489336492891,552000.0,2007.0,8.0
2170,Other,Single,Unmarried,Male,Single Family Residence,54.0,221000.0,1990.0,25.0
2171,Eastern European,Single,Single / Unmarried,Female,Single Family Residence,64.0,266000.0,1982.0,16.0
2172,Western European,Married,Husband and wife,Male,Single Family Residence,64.0,255000.0,1966.0,24.0
2173,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,1399000.0,1967.0,18.0
2174,Southeast Asian,Single,Husband and wife,Unknown,Single Family Residence,62.3489336492891,335000.0,2002.0,13.0
2175,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,6315000.0,1984.0,13.0
2176,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,4467000.0,1975.0,18.0
2177,Scandinavian,Married,Unknown or not provided,Female,Single Family Residence,74.0,241000.0,1954.0,23.0
2178,East Asian,Single,Separate Estate/Property,Male,Single Family Residence,66.0,229000.0,1953.0,41.0
2179,Western European,Married,Separate Estate/Property,Male,Single Family Residence,72.0,362000.0,1934.0,41.0
2180,African American,Married,Unknown or not provided,Female,Single Family Residence,84.0,215000.0,1953.0,16.0
2181,East Asian,Unknown,Unknown or not provided,Male,Single Family Residence,32.0,590000.0,2012.0,4.0
2182,Middle Eastern,Unknown,Unmarried Man,Female,Single Family Residence,46.0,264000.0,1961.0,11.0
2183,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,62.3489336492891,289000.0,1968.0,4.0
2184,Western European,Married,Unknown or not provided,Female,Single Family Residence,64.0,507000.0,2013.0,3.0
2185,Polynesian,Unknown,Unknown or not provided,Female,Single Family Residence,62.3489336492891,283000.0,1989.0,26.0
2186,Eastern European,Married,Husband and wife,Female,Single Family Residence,58.0,425000.0,2006.0,9.0
2187,Western European,Single,Unknown or not provided,Male,Single Family Residence,57.0,297000.0,1958.0,16.0
2188,Middle Eastern,Married,Unknown or not provided,Female,Single Family Residence,68.0,337000.0,1999.0,16.0
2189,East Asian,Married,Unknown or not provided,Male,Single Family Residence,89.0,369000.0,1966.0,23.0
2190,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),62.3489336492891,25019000.0,1997.0,19.0
2191,Mediterranean,Single,Unknown or not provided,Male,Single Family Residence,40.0,213000.0,1965.0,41.0
2192,Western European,Unknown,Unknown or not provided,Female,Single Family Residence,48.0,205000.0,1968.0,41.0
2193,Western European,Married,Trust,Female,Single Family Residence,80.0,214000.0,1972.0,41.0
2194,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,62.3489336492891,313000.0,1962.0,7.0
2195,Western European,Unknown,Unknown or not provided,Female,Single Family Residence,62.3489336492891,261000.0,1986.0,29.0
2196,Western European,Unknown,Unknown or not provided,Male,Single Family Residence,61.0,318000.0,1992.0,16.0
2197,Western European,Married,Unknown or not provided,Female,Single Family Residence,73.0,281000.0,1960.0,24.0
2198,Western European,Married,Husband and wife,Female,Single Family Residence,79.0,235000.0,1957.0,16.0
2199,Hispanic,Single,Unknown or not provided,Male,Condominium,68.0,161000.0,1977.0,24.0
2200,East Asian,Unknown,Husband and wife,Female,Single Family Residence,62.3489336492891,317000.0,1995.0,16.0
2201,Western European,Single,Separate Estate/Property,Female,Single Family Residence,58.0,226000.0,1967.0,41.0
2202,East Asian,Single,Single Woman,Female,Single Family Residence,43.0,277000.0,1990.0,25.0
2203,Western European,Married,Single Woman,Female,Single Family Residence,62.0,266000.0,1955.0,23.0
2204,Western European,Single,Separate Estate/Property,Female,Single Family Residence,69.0,236000.0,1986.0,29.0
2205,East Asian,Married,Unknown or not provided,Female,Single Family Residence,90.0,237000.0,1955.0,16.0
2206,Western European,Married,Single Man,Female,Single Family Residence,57.0,170000.0,1910.0,24.0
2207,Western European,Single,Unmarried,Female,Single Family Residence,67.0,210000.0,1969.0,16.0
2208,East Asian,Married,Separate Estate/Property,Male,Single Family Residence,71.0,242000.0,1962.0,41.0
2209,Western European,Married,Single / Unmarried,Female,Single Family Residence,68.0,193000.0,1954.0,41.0
2210,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,62.3489336492891,313000.0,1962.0,7.0
2211,Scandinavian,Married,Unknown or not provided,Male,Single Family Residence,77.0,552000.0,1956.0,41.0
2212,Western European,Single,Unknown or not provided,Female,Single Family Residence,60.0,225000.0,1948.0,16.0
2213,Western European,Single,Unknown or not provided,Male,Single Family Residence,59.0,160000.0,1961.0,41.0
2214,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,5995600.0,1969.0,10.0
2215,Western European,Married,Separate Estate/Property,Male,Single Family Residence,58.0,210000.0,1950.0,16.0
2216,Western European,Married,Unknown or not provided,Male,Single Family Residence,87.0,209000.0,1943.0,16.0
2217,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),62.3489336492891,3634000.0,1962.0,2.0
2218,Western European,Married,Husband and wife,Female,Single Family Residence,57.0,217000.0,1957.0,16.0
2219,East Asian,Married,Personal Trust,Female,Single Family Residence,72.0,345000.0,1995.0,20.0
2220,Western European,Married,Unknown or not provided,Female,Single Family Residence,88.0,186000.0,1955.0,41.0
2221,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,62.3489336492891,181000.0,1990.0,24.0
2222,Western European,Married,Single Man,Female,Single Family Residence,67.0,184000.0,1956.0,17.0
2223,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,7541000.0,1987.0,10.0
2224,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,62.3489336492891,373000.0,1979.0,16.0
2225,Western European,Unknown,Separate Estate/Property,Female,Single Family Residence,86.0,625000.0,1962.0,17.0
2226,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,62.3489336492891,209000.0,1962.0,42.0
2227,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,6372000.0,1983.0,32.0
2228,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,1399000.0,1967.0,18.0
2229,Western European,Single,Unknown or not provided,Male,Single Family Residence,48.0,236000.0,1962.0,41.0
2230,Western European,Married,Husband and wife,Male,Single Family Residence,83.0,184000.0,1940.0,16.0
2231,Western European,Unknown,Unknown or not provided,Male,Single Family Residence,48.0,364000.0,1997.0,12.0
2232,Other,Married,Husband and wife,Male,Single Family Residence,52.0,408000.0,2005.0,10.0
2233,East Asian,Single,Unknown or not provided,Male,Single Family Residence,44.0,356000.0,2005.0,10.0
2234,Western European,Separated,Unknown or not provided,Female,Single Family Residence,75.0,213000.0,1957.0,16.0
2235,Jewish,Married,Unknown or not provided,Female,Single Family Residence,53.0,214000.0,1966.0,41.0
2236,Other,Married,Husband and wife,Female,Single Family Residence,82.0,343000.0,1994.0,16.0
2237,Jewish,Married,Living Trust,Female,Single Family Residence,57.0,222000.0,1956.0,16.0
2238,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,7275000.0,1977.0,12.0
2239,Hispanic,Unknown,Unknown or not provided,Male,Single Family Residence,62.3489336492891,300000.0,1999.0,16.0
2240,Mediterranean,Unknown,Unknown or not provided,Female,Single Family Residence,66.0,226000.0,1965.0,41.0
2241,Western European,Unknown,Unknown or not provided,Female,Single Family Residence,53.0,501000.0,1974.0,23.0
2242,Other,Single,Unmarried,Female,Single Family Residence,75.0,205000.0,1959.0,19.0
2243,East Asian,Unknown,Husband and wife,Male,Single Family Residence,36.0,217000.0,1958.0,16.0
2244,Western European,Single,Unknown or not provided,Female,Single Family Residence,72.0,240000.0,1953.0,41.0
2245,Western European,Married,Husband and wife,Male,Single Family Residence,65.0,232000.0,1988.0,27.0
2246,Mediterranean,Married,Unknown or not provided,Male,Single Family Residence,70.0,228000.0,1941.0,16.0
2247,Eastern European,Married,Trust,Male,Single Family Residence,64.0,269000.0,1978.0,16.0
2248,Unknown,Unknown,Unmarried Woman,Unknown,Single Family Residence,62.3489336492891,245000.0,1959.0,16.0
2249,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,9337000.0,1976.0,8.0
2250,Jewish,Married,Husband and wife,Male,Single Family Residence,60.0,258000.0,1991.0,24.0
2251,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,62.3489336492891,372000.0,1918.0,41.0
2252,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,1399000.0,1967.0,18.0
2253,Western European,Married,Unknown or not provided,Female,Single Family Residence,45.0,453000.0,1955.0,17.0
2254,Hispanic,Married,Husband and wife,Female,Single Family Residence,51.0,276000.0,1992.0,24.0
2255,Western European,Single,Single Woman,Female,Single Family Residence,48.0,191000.0,1967.0,41.0
2256,Western European,Single,Unknown or not provided,Female,Single Family Residence,58.0,292000.0,1963.0,16.0
2257,Hispanic,Married,Husband and wife,Female,Single Family Residence,59.0,215000.0,1975.0,40.0
2258,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),62.3489336492891,2854000.0,1966.0,16.0
2259,Other,Unknown,Single / Unmarried,Female,Single Family Residence,62.3489336492891,226000.0,1963.0,16.0
2260,Scandinavian,Married,Husband and wife,Female,Single Family Residence,80.0,208000.0,1978.0,18.0
2261,Mediterranean,Single,Husband and wife,Female,Single Family Residence,26.0,308000.0,1964.0,41.0
2262,Western European,Unknown,Unmarried,Male,Single Family Residence,53.0,319000.0,1946.0,41.0
2263,Western European,Married,Husband and wife,Female,Single Family Residence,52.0,178000.0,1970.0,41.0
2264,Western European,Single,Unknown or not provided,Female,Single Family Residence,35.0,273000.0,1955.0,41.0
2265,Western European,Married,Unknown or not provided,Male,Single Family Residence,59.0,236000.0,1962.0,41.0
2266,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,140000.0,1963.8192722910835,25.0
2267,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,62.3489336492891,637000.0,2003.0,12.0
2268,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,140000.0,1963.8192722910835,25.0
2269,Western European,Married,Unknown or not provided,Female,Single Family Residence,67.0,215000.0,1966.0,41.0
2270,Eastern European,Married,Separate Estate/Property,Female,Single Family Residence,80.0,232000.0,1959.0,16.0
2271,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,62.3489336492891,637000.0,2003.0,12.0
2272,Unknown,Unknown,Unknown,Unknown,Mobile home,62.3489336492891,1448547.7760127084,1963.8192722910835,16.0
2273,Unknown,Unknown,Husband and wife,Unknown,Single Family Residence,62.3489336492891,1098000.0,1942.0,17.0
2274,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,140000.0,1963.8192722910835,25.0
2275,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,62.3489336492891,289000.0,1968.0,4.0
2276,Jewish,Single,Husband and wife,Female,Single Family Residence,76.0,380000.0,1974.0,23.0
2277,Western European,Married,Husband and wife,Female,Single Family Residence,76.0,370000.0,1962.0,41.0
2278,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,2578900.0,1980.0,24.0
2279,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,5995600.0,1969.0,10.0
2280,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,13820000.0,1977.0,17.0
2281,Hispanic,Unknown,Husband and wife,Female,Single Family Residence,62.3489336492891,285000.0,1990.0,25.0
2282,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,62.3489336492891,227000.0,2004.0,11.0
2283,Western European,Married,Unknown or not provided,Female,Single Family Residence,64.0,425000.0,2006.0,9.0
2284,Hispanic,Married,Unknown or not provided,Male,Single Family Residence,70.0,216000.0,1954.0,16.0
2285,Western European,Single,Unmarried,Female,Single Family Residence,35.0,247000.0,1992.0,23.0
2286,Western European,Separated,Husband and wife,Female,Single Family Residence,71.0,208000.0,1975.0,40.0
2287,Western European,Married,Husband and wife,Female,Single Family Residence,65.0,492000.0,1951.0,23.0
2288,Western European,Single,Unknown or not provided,Female,Single Family Residence,76.0,256000.0,1968.0,41.0
2289,Western European,Married,Unknown or not provided,Female,Single Family Residence,96.0,224000.0,1968.0,8.0
2290,Western European,Married,Separate Estate/Property,Male,Single Family Residence,66.0,187000.0,1955.0,6.0
2291,Western European,Separated,Unknown or not provided,Male,Single Family Residence,56.0,502000.0,2000.0,15.0
2292,Polynesian,Married,Husband and wife,Female,Single Family Residence,66.0,332000.0,1995.0,20.0
2293,Western European,Unknown,Husband and wife,Male,Single Family Residence,62.3489336492891,281000.0,1960.0,41.0
2294,Western European,Single,Separate Estate/Property,Male,Single Family Residence,84.0,213000.0,1954.0,16.0
2295,Middle Eastern,Single,Unknown or not provided,Unknown,Single Family Residence,37.0,350000.0,1999.0,16.0
2296,Western European,Married,Husband and wife,Female,Single Family Residence,49.0,416000.0,1960.0,23.0
2297,Eastern European,Unknown,Husband and wife,Unknown,Single Family Residence,51.0,254000.0,1999.0,16.0
2298,Western European,Single,Unmarried Man,Male,Single Family Residence,22.0,194000.0,1968.0,41.0
2299,Western European,Married,Separate Estate/Property,Male,Single Family Residence,68.0,240000.0,1949.0,41.0
2300,Other,Single,Unknown or not provided,Male,Single Family Residence,64.0,245000.0,1941.0,16.0
2301,Jewish,Single,Unknown or not provided,Male,Single Family Residence,72.0,232000.0,1953.0,17.0
2302,Other,Unknown,Unknown or not provided,Female,Single Family Residence,59.0,447000.0,2012.0,3.0
2303,Eastern European,Single,Unknown or not provided,Female,Single Family Residence,86.0,334000.0,1945.0,17.0
2304,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,"Quadplex (4 Units, Any Combination)",62.3489336492891,402000.0,1977.0,16.0
2305,East Asian,Unknown,Unknown or not provided,Female,Single Family Residence,62.3489336492891,356000.0,2010.0,5.0
2306,Western European,Single,Unmarried,Female,Single Family Residence,53.0,245000.0,1955.0,41.0
2307,Unknown,Unknown,Separate Estate/Property,Unknown,Single Family Residence,62.3489336492891,519000.0,1960.0,17.0
2308,Western European,Married,Unknown or not provided,Female,Single Family Residence,82.0,222000.0,1952.0,24.0
2309,Western European,Separated,Unmarried Woman,Female,Single Family Residence,70.0,203000.0,1974.0,41.0
2310,Hispanic,Married,Separate Estate/Property,Female,Single Family Residence,48.0,411000.0,2007.0,8.0
2311,Eastern European,Unknown,Unknown or not provided,Male,Single Family Residence,62.3489336492891,259000.0,1957.0,16.0
2312,African American,Married,Husband and wife,Unknown,Single Family Residence,60.0,310000.0,1989.0,16.0
2313,Western European,Single,Separate Estate/Property,Male,Single Family Residence,68.0,214000.0,1966.0,23.0
2314,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,62.3489336492891,201000.0,1993.0,9.0
2315,Hispanic,Single,Separate Estate/Property,Female,Single Family Residence,80.0,198000.0,1977.0,23.0
2316,Western European,Single,Separate Estate/Property,Male,Single Family Residence,55.0,283000.0,1995.0,16.0
2317,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,62.3489336492891,277000.0,1983.0,7.0
2318,Western European,Married,Husband and wife,Male,Single Family Residence,59.0,243000.0,1953.0,23.0
2319,Mediterranean,Single,Unknown or not provided,Female,Single Family Residence,68.0,202000.0,1954.0,23.0
2320,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,8809000.0,1979.0,19.0
2321,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),62.3489336492891,508300.0,1942.0,16.0
2322,East Asian,Married,Unknown or not provided,Female,Single Family Residence,79.0,333000.0,2000.0,16.0
2323,African American,Unknown,Unknown or not provided,Female,Apartment house (5+ units),45.0,5014000.0,1968.0,7.0
2324,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,9337000.0,1976.0,8.0
2325,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,1226000.0,1989.0,24.0
2326,Other,Single,Husband and wife,Female,Single Family Residence,72.0,207000.0,1960.0,41.0
2327,Hispanic,Single,Unknown or not provided,Male,Condominium,68.0,161000.0,1977.0,24.0
2328,Other,Married,Unknown or not provided,Female,Apartment house (5+ units),61.0,8500000.0,1983.0,32.0
2329,Eastern European,Married,Husband and wife,Female,Single Family Residence,49.0,297000.0,1956.0,41.0
2330,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,77.0,288000.0,1951.0,16.0
2331,Western European,Married,Husband and wife,Male,Single Family Residence,88.0,200000.0,1955.0,16.0
2332,Western European,Unknown,Separate Estate/Property,Unknown,Single Family Residence,62.3489336492891,472000.0,1926.0,16.0
2333,Unknown,Unknown,Separate Estate/Property,Unknown,Single Family Residence,62.3489336492891,243000.0,1960.0,16.0
2334,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,62.3489336492891,378000.0,1978.0,38.0
2335,Western European,Separated,Unmarried Man,Female,Single Family Residence,75.0,224000.0,1985.0,30.0
2336,Western European,Married,Separate Estate/Property,Female,Single Family Residence,93.0,197000.0,1955.0,41.0
2337,East Asian,Single,Unknown or not provided,Female,Single Family Residence,60.0,317000.0,1959.0,25.0
2338,Western European,Married,Single Woman,Female,Single Family Residence,58.0,243000.0,1963.0,23.0
2339,Western European,Married,Unknown or not provided,Female,Single Family Residence,80.0,250000.0,1966.0,41.0
2340,Western European,Single,Husband and wife,Male,Condominium,24.0,262000.0,2006.0,9.0
2341,Jewish,Married,Separate Estate/Property,Male,Single Family Residence,62.0,568000.0,1954.0,41.0
2342,Western European,Single,Personal Trust,Female,Single Family Residence,73.0,590000.0,1957.0,8.0
2343,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,8408000.0,1966.0,0.0
2344,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,526000.0,1961.0,16.0
2345,East Asian,Unknown,Husband and wife,Male,Single Family Residence,34.0,332000.0,1983.0,16.0
2346,Western European,Unknown,Unknown or not provided,Female,Single Family Residence,62.3489336492891,324000.0,1991.0,16.0
2347,Scandinavian,Unknown,Unknown or not provided,Female,Single Family Residence,62.3489336492891,262000.0,1965.0,20.0
2348,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),62.3489336492891,8408000.0,1966.0,0.0
